text,label,label
J'étais donc lycéen et pompier à la fois.,A2,1
Un journaliste de Art Press a interviewé Agathe sur la performance dans laquelle elle a participé.,B2,3
Je ne crois pas que les enfants vont réussir.,A2,1
C'est vrai qu'ils sont très bons mais j'ai peur qu'il tombe malade,B1,2
"C'est d'accord pour samedi, je viens avec ma soeur Katrine.",A1,0
"Les Cyanobactéries se distinguent des Bactéries par la présence de chlorophylle A et de pigments accessoires hydrosolubles, les phycobilines rouge et bleue.",C1,4
"Celles-ci n'influeront sur la recherche scientifique que vers le milieu du XVIIe siècle: et l'on peut, il me semble, attribuer au grand naturaliste Réaumur le mérite d'en avoir tiré les premières conséquences expérimentales dans ses recherches sur la prolongation de la vie chez les insectes.",C2,5
"Même à l'université, les études sont trop focalisées et seuls 5 % des étudiants qui ont un doctorat occuperont une fonction académique.",C2,5
"Et si boire chaud donne chaud, c'est un mal pour un bien car la température élevée du liquide augmente la température interne du corps et stimule ainsi la transpiration.",B1,2
"Le soir venu, il faut rentrer en prenant le même chemin que le matin",A2,1
Je suis vraiment plus dans le flow,A2,1
L'élastique s'est distendu.,B1,2
Cet auteur tellement lu pour sa Grammaire impertinente propose aussi. des Jeux pour lire vite (Retz),C2,5
Des coutumes similaires ont existé autrefois notamment dans le Finistère : les enfants s'amusaient à creuser des betteraves au moment de la Toussaint pour faire peur aux gens du voisinage,B2,3
"Elle ressemble à un bébé tigre, mais c'est un tigre qui a très peur.",A2,1
"De nombreux indicateurs lui permettent de suivre l'évolution de la situation, et au fur et à mesure que l'épidémie se propage, de nouveaux outils deviennent nécessaires pour avoir une vision globale de la situation.",C1,4
Alice a un chien.,A1,0
Pierre qui roule n'amasse pas mousse,C1,4
Elle n'était pas là.,A1,0
Des réponses aux questions que l'on se pose sur soi et sur les autres.,A2,1
"Cependant, la responsable du service nous a confirmé que les conditions d'accueil et de délivrance de vos documents administratifs mit été respectées selon les normes établies par notre ministère",C2,5
L'ensemble des jeunes ?,A2,1
